Name,Genre,GenreCluster
Awaara,"Drama, Musical, Romance",3
Awaargi,Drama,1
Awaaz,"Action, Drama, Romance",5
Awara Badal,"Action, Adventure, Drama",4
Awara Paagal Deewana,"Action, Comedy, Crime",1
Awarapan,"Action, Crime, Drama",1
Awasaan,Drama,1
Awesome Mausam,Romance,5
Axone,"Comedy, Drama",1
Aya Sawan Jhoom Ke,"Drama, Romance",5
Ayaash,Romance,5
Ayee Milan Ki Bela,"Drama, Romance",5
Ayee Milan Ki Raat,Romance,5
Ayudha Pooja,"Action, Crime, Drama",1
Ayurveda: Art of Being,Documentary,1
Azaad,"Action, Adventure, Comedy",4
Azaad,"Action, Comedy, Drama",1
Azaad Desh Ke Gulam,"Action, Drama",1
Azad,Drama,1
Azhar,"Biography, Drama, Sport",7
B for Bundelkhand,Drama,1
B.A. Pass,"Crime, Drama, Thriller",1
B.A. Pass 2,Drama,1
B.A. Pass 3,"Drama, Romance",5
Baa Baaa Black Sheep,"Action, Comedy, Crime",1
Baabarr,"Action, Crime, Drama",1
Baabul,"Drama, Family, Romance",5
Baadshah,"Action, Comedy, Crime",1
Baadshaho,"Action, Adventure, Thriller",4
Baaghi,"Action, Crime, Drama",1
Baaghi,"Action, Romance, Thriller",5
Baaghi 2,"Action, Thriller",1
Baaghi 3,"Action, Comedy, Musical",3
Baaghi: A Rebel for Love,"Action, Drama, Romance",5
Baaja,Family,1
Baaki Itihaas,Drama,1
Baal Ki Khaal,Comedy,1
Baankey Ki Crazy Baraat,Comedy,1
Baap Numbri Beta Dus Numbri,"Action, Comedy, Crime",1
Baap Re Baap,"Comedy, Drama, Family",1
Baar Baar Dekho,"Action, Comedy, Drama",1
Baaraat Company,"Comedy, Romance",5
Baarish,"Crime, Drama, Romance",5
Baarish Aur Chowmein,Drama,1
Baarood (The Fire) - A Love Story,"Action, Crime, Drama",1
Baat Ban Jaye,Comedy,1
Baat Bann Gayi,"Comedy, Romance",5
Baat Ek Raat Ki,"Mystery, Romance, Thriller",5
Baaz,"Action, Adventure, Musical",3
Baaz: A Bird in Danger,"Mystery, Thriller",1
Baazaar,"Crime, Drama, Thriller",1
Baazi,"Crime, Drama, Musical",3
Baazi,"Crime, Musical, Mystery",3
Baazi,Action,1
Baazi,"Action, Thriller, Crime",1
Baazigar,"Crime, Drama, Musical",3
Baazigar,"Adventure, Comedy, Crime",4
Babloo Happy Hai,"Comedy, Drama, Romance",5
Babu,"Drama, Family",1
Babul,Drama,1
Babul,Drama,1
Babula,"Drama, Sci-Fi",1
Babumoshai Bandookbaaz,"Action, Crime, Thriller",1
Baby,"Action, Thriller",1
Bach ke Zara,"Comedy, Horror, Musical",0
Bachke Rehna Re Baba,"Comedy, Drama, Romance",5
Bachna Ae Haseeno,"Comedy, Drama, Romance",5
Bachpan,"Action, Comedy, Crime",1
Back to Dad,Drama,1
Bad Aur Badnaam,"Family, Thriller",1
Bad Boys,Thriller,1
Bad Luck Govind,"Comedy, Crime, Drama",1
Bada Kabutar,"Action, Comedy, Crime",1
Badal,"Action, Romance",5
Badal,"Action, Adventure, Musical",3
Badal,"Action, Crime, Drama",1
Badaltey Rishtey,"Drama, Romance",5
Bade Dil Wala,"Drama, Action, Crime",1
Bade Dilwala,"Comedy, Drama, Romance",5
Bade Ghar Ki Beti,Drama,1
Bade Miyan Chote Miyan,"Action, Comedy, Musical",3
Badhaai Ho,"Comedy, Drama",1
Badhaai Ho Badhaai,"Comedy, Drama, Musical",3
Badhu Nirupama,Drama,1
Badi Bahen,"Drama, Family",1
Badi Didi,"Comedy, Drama, Romance",5
Badi Maa,"Drama, War",6
Badkaar,Drama,1
Badla,Thriller,1
Badla,"Crime, Drama, Mystery",1
Badla Aur Balidan,"Action, Drama",1
Badlapur,"Action, Crime, Drama",1
Badlapur Boys,Drama,1
Badle Ki Aag,"Action, Drama",1
Badmaa$h Company,"Comedy, Crime, Drama",1
Badmaash,Action,1
Badman,"Comedy, Drama",1
Badmashiyaan,"Comedy, Romance",5
Badnaam Gali,Comedy,1
Badnam Basti,Drama,1
Badrinath Ki Dulhania,"Comedy, Drama, Romance",5
Baga Beach,Drama,1
Bagh Bahadur,Drama,1
Baghavat,"Action, Romance",5
Baghban,Drama,1
Baghban,"Drama, Romance",5
Bagpat Ka Dulha,Drama,1
Bahaar Aane Tak,Family,1
Bahar,Drama,1
Baharen Phir Bhi Aayengi,"Drama, Romance",5
Baharon Ke Sapne,"Drama, Romance",5
Baharon Ki Manzil,Mystery,1
Bahattar Hoorain,Comedy,1
Bahen,Drama,1
Bahu Begum,"Comedy, Drama, Romance",5
Bahu Beti,"Drama, Family",1
Bahu Ki Awaaz,Drama,1
Bahurani,Drama,1
